image_name,pixelwise_rmse
series_000_slice_000,1.8429698263296985
series_000_slice_001,1.8177771204600328
series_000_slice_002,1.8268067913653363
series_000_slice_003,1.8189435403627414
series_000_slice_004,1.8160933030144422
series_000_slice_005,1.818194684069802
series_000_slice_006,1.8118253307238903
series_000_slice_007,1.812281102083435
series_000_slice_008,1.811985337423322
series_000_slice_009,1.8086475339600054
series_000_slice_010,1.813911677488865
series_000_slice_011,1.8060398071903758
series_000_slice_012,1.8058180137351794
series_000_slice_013,1.8127672721851167
series_000_slice_014,1.8066395692564483
series_000_slice_015,1.813912728999864
series_000_slice_016,1.8110777437741707
series_000_slice_017,1.810462595800039
series_000_slice_018,1.8031564799028466
series_000_slice_019,1.7996963244813171
series_000_slice_020,1.8042107815300996
series_000_slice_021,1.8026433820480958
series_000_slice_022,1.795540222652255
series_000_slice_023,1.8030274257340677
series_000_slice_024,1.7985078773018475
series_000_slice_025,1.8051915641426959
series_000_slice_026,1.8036704892764417
series_000_slice_027,1.8015341684540491
series_000_slice_028,1.8029089416427744
series_000_slice_029,1.7938015069777222
series_000_slice_030,1.7933580561828084
series_000_slice_031,1.7942076414927608
series_000_slice_032,1.7992871886408326
series_000_slice_033,1.804501478507984
series_000_slice_034,1.8081307199534697
series_000_slice_035,1.8157676968989074
series_000_slice_036,1.811656887352082
series_000_slice_037,1.8006403737601893
series_000_slice_038,1.8007759541001302
series_000_slice_039,1.7932144694779044
series_000_slice_040,1.796567144144067
series_000_slice_041,1.7949835068308906
series_000_slice_042,1.7955253508097262
series_000_slice_043,1.7937366445223624
series_000_slice_044,1.7904319352861695
series_000_slice_045,1.7893524601269868
series_000_slice_046,1.7895336613480217
series_000_slice_047,1.7876792124295495
series_000_slice_048,1.7830523022882174
series_000_slice_049,1.7779918117956843
series_000_slice_050,1.7707132934574568
series_000_slice_051,1.7617068406609655
series_000_slice_052,1.766876587301971
series_000_slice_053,1.7700711872850314
series_000_slice_054,1.7628659997864629
series_000_slice_055,1.768583536571026
series_000_slice_056,1.7691065129052874
series_000_slice_057,1.7583853233328866
series_000_slice_058,1.7606335869343759
series_000_slice_059,1.771079491354712
series_000_slice_060,1.7736181763691066
series_000_slice_061,1.7711419528481256
series_000_slice_062,1.7839923294655156
series_000_slice_063,1.7823354525810633
series_000_slice_064,1.7882712667644012
series_000_slice_065,1.7988525123889743
series_000_slice_066,1.7919940501523017
series_000_slice_067,1.797601967414353
series_000_slice_068,1.7926378796697768
series_000_slice_069,1.791717292011267
series_000_slice_070,1.7870015763252876
series_000_slice_071,1.7864699590395527
series_000_slice_072,1.783738923817004
series_000_slice_073,1.7794040685328694
series_000_slice_074,1.7799131496543588
series_000_slice_075,1.7850045237764367
series_000_slice_076,1.780269955512914
series_000_slice_077,1.7765655490711523
series_000_slice_078,1.778477703170278
series_000_slice_079,1.7641768466593881
series_000_slice_080,1.7671475217902808
series_000_slice_081,1.7615411842332838
series_000_slice_082,1.7654251390616538
series_000_slice_083,1.7575520640403515
series_000_slice_084,1.7461538283148688
series_000_slice_085,1.7441603092394264
series_000_slice_086,1.7389965171669408
series_000_slice_087,1.7362567213242832
series_000_slice_088,1.7357699995837808
series_000_slice_089,1.736774056910069
series_000_slice_090,1.7408359913359066
series_000_slice_091,1.7461636591150507
series_000_slice_092,1.7469750554837415
series_000_slice_093,1.747501224195409
series_000_slice_094,1.759030610929084
series_000_slice_095,1.7536571980051388
series_000_slice_096,1.7558495984850182
series_000_slice_097,1.7612563920023514
series_000_slice_098,1.753907337485743
series_000_slice_099,1.7632295005144325
series_001_slice_000,1.5916818401685262
series_001_slice_001,1.5763666914143997
series_001_slice_002,1.5765082509713864
series_001_slice_003,1.5739000627329243
series_001_slice_004,1.5759177304400234
series_001_slice_005,1.5787606045207483
series_001_slice_006,1.5829195519233845
series_001_slice_007,1.5800008672397985
series_001_slice_008,1.5797014577307449
series_001_slice_009,1.584963043455933
series_001_slice_010,1.5867695246676696
series_001_slice_011,1.584516518195865
series_001_slice_012,1.5816478123293105
series_001_slice_013,1.5776378521786782
series_001_slice_014,1.5821361365693762
series_001_slice_015,1.5768929383795618
series_001_slice_016,1.5817888992612674
series_001_slice_017,1.582461602346291
series_001_slice_018,1.583532755824625
series_001_slice_019,1.5752373894914864
series_001_slice_020,1.57268652169077
series_001_slice_021,1.5724900363915764
series_001_slice_022,1.5753378853836404
series_001_slice_023,1.5676891372198225
series_001_slice_024,1.5707096337840771
series_001_slice_025,1.5774951848895165
series_001_slice_026,1.5748232303300296
series_001_slice_027,1.5711115232398467
series_001_slice_028,1.5738964271447173
series_001_slice_029,1.5705602649686632
series_001_slice_030,1.566228461699723
series_001_slice_031,1.569826572825801
series_001_slice_032,1.56872539121012
series_001_slice_033,1.5647140075864054
series_001_slice_034,1.5677864672009008
series_001_slice_035,1.5612165138678966
series_001_slice_036,1.5658460266887275
series_001_slice_037,1.5690281108528568
series_001_slice_038,1.5705894112188623
series_001_slice_039,1.5779207305144036
series_001_slice_040,1.5731812648236654
series_001_slice_041,1.573906122027941
series_001_slice_042,1.5677195534880184
series_001_slice_043,1.5707618487996617
series_001_slice_044,1.5661030235651554
series_001_slice_045,1.5604613164906305
series_001_slice_046,1.5615145818424625
series_001_slice_047,1.57141863832183
series_001_slice_048,1.5692675705588937
series_001_slice_049,1.5567178168596019
series_001_slice_050,1.5599356398388535
series_001_slice_051,1.5640312321268905
series_001_slice_052,1.5510911607840785
series_001_slice_053,1.553568221466312
series_001_slice_054,1.5590525934084687
series_001_slice_055,1.5689612500941108
series_001_slice_056,1.5707934198275206
series_001_slice_057,1.5683508619787638
series_001_slice_058,1.5675796337676517
series_001_slice_059,1.5615597757067992
series_001_slice_060,1.5598842851808903
series_001_slice_061,1.5605688750013718
series_001_slice_062,1.5586989900246635
series_001_slice_063,1.5561418488085466
series_001_slice_064,1.55240144819169
series_001_slice_065,1.5491199579254566
series_001_slice_066,1.5531458279539063
series_001_slice_067,1.5407160672089648
series_001_slice_068,1.5361051854039813
series_001_slice_069,1.5363547424912616
series_001_slice_070,1.5235564356617985
series_001_slice_071,1.5129194198298987
series_001_slice_072,1.509312017481237
series_001_slice_073,1.5068596710096247
series_001_slice_074,1.5081805634805625
series_001_slice_075,1.5022692998648433
series_001_slice_076,1.5071292574403872
series_001_slice_077,1.5131387670080547
series_001_slice_078,1.5138936329494108
series_001_slice_079,1.5154941148382512
series_001_slice_080,1.521038024226409
series_001_slice_081,1.5160276526996466
series_001_slice_082,1.5153707703982362
series_001_slice_083,1.5086812891322456
series_001_slice_084,1.5085396866121834
series_001_slice_085,1.5043868448815731
series_001_slice_086,1.4996362880985614
series_001_slice_087,1.4906669178952827
series_001_slice_088,1.4893561058750933
series_001_slice_089,1.482755078248027
series_001_slice_090,1.4799997195681744
series_001_slice_091,1.4747555287670246
series_001_slice_092,1.4701518409833982
series_001_slice_093,1.469776849741861
series_001_slice_094,1.46867467808858
series_001_slice_095,1.4656586275126768
series_001_slice_096,1.4623716118692853
series_001_slice_097,1.4615066154191922
